Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,5.75,5.87,5.68,5.84,393900,5.84
2016-08-04,5.90,5.91,5.68,5.71,386500,5.71
2016-08-03,5.71,5.95,5.55,5.87,395600,5.87
2016-08-02,5.81,5.90,5.53,5.55,291500,5.55
2016-08-01,5.83,5.91,5.73,5.77,211100,5.77
2016-07-29,5.85,5.91,5.78,5.80,200000,5.80
2016-07-28,5.92,5.94,5.80,5.86,181900,5.86
2016-07-27,5.81,5.95,5.80,5.92,211100,5.92
2016-07-26,5.95,6.00,5.80,5.82,146300,5.82
2016-07-25,5.91,5.97,5.80,5.95,178400,5.95
2016-07-22,5.87,5.92,5.81,5.83,104300,5.83
2016-07-21,5.76,5.95,5.76,5.86,272200,5.86
2016-07-20,5.71,5.84,5.66,5.79,180700,5.79
2016-07-19,5.87,5.88,5.53,5.68,183100,5.68
2016-07-18,5.74,6.01,5.63,5.88,275200,5.88
2016-07-15,6.02,6.05,5.69,5.73,508100,5.73
2016-07-14,5.93,5.99,5.79,5.96,225200,5.96
2016-07-13,6.07,6.13,5.84,5.88,149200,5.88
2016-07-12,6.09,6.15,5.96,6.03,400000,6.03
2016-07-11,6.04,6.13,5.85,6.02,300100,6.02
2016-07-08,5.90,6.04,5.82,6.01,270400,6.01
2016-07-07,5.79,5.89,5.76,5.87,202100,5.87
2016-07-06,5.51,5.79,5.50,5.78,239500,5.78
2016-07-05,5.55,5.65,5.43,5.58,253200,5.58
2016-07-01,5.43,5.60,5.41,5.55,272500,5.55
2016-06-30,5.50,5.55,5.33,5.46,438900,5.46
2016-06-29,5.44,5.58,5.39,5.48,293600,5.48
2016-06-28,5.17,5.43,5.17,5.33,211900,5.33
2016-06-27,5.17,5.23,5.03,5.11,318100,5.11
2016-06-24,5.18,5.29,4.95,5.22,1958400,5.22
2016-06-23,5.36,5.49,5.28,5.47,298400,5.47
2016-06-22,5.54,5.58,5.25,5.30,292400,5.30
2016-06-21,5.58,5.61,5.25,5.41,307500,5.41
2016-06-20,5.43,5.75,5.37,5.57,511500,5.57
2016-06-17,5.46,5.49,5.27,5.28,697400,5.28
2016-06-16,5.38,5.50,5.35,5.44,299100,5.44
2016-06-15,5.34,5.44,5.21,5.41,293600,5.41
2016-06-14,5.36,5.47,5.21,5.29,316600,5.29
2016-06-13,5.54,5.75,5.32,5.38,310300,5.38
2016-06-10,5.39,5.65,5.27,5.60,289400,5.60
2016-06-09,5.62,5.64,5.35,5.47,438700,5.47
2016-06-08,5.61,5.68,5.60,5.64,289200,5.64
2016-06-07,5.68,5.82,5.55,5.62,367300,5.62
2016-06-06,5.92,5.92,5.58,5.73,275800,5.73
2016-06-03,6.21,6.21,5.52,5.82,819600,5.82
2016-06-02,5.89,6.33,5.89,6.25,644600,6.25
2016-06-01,5.93,6.06,5.81,6.02,2351900,6.02
2016-05-31,5.61,6.00,5.50,5.95,1365000,5.95
2016-05-27,5.42,5.50,5.33,5.40,232800,5.40
2016-05-26,5.51,5.51,5.26,5.44,161000,5.44
2016-05-25,5.50,5.57,5.42,5.48,363500,5.48
2016-05-24,5.29,5.50,5.29,5.48,394700,5.48
2016-05-23,5.35,5.39,5.20,5.28,251600,5.28
2016-05-20,5.27,5.35,5.25,5.35,229900,5.35
2016-05-19,5.26,5.30,5.14,5.24,139200,5.24
2016-05-18,5.09,5.29,5.09,5.28,173200,5.28
2016-05-17,5.12,5.41,4.97,5.11,425000,5.11
2016-05-16,4.95,5.15,4.95,5.11,576300,5.11
2016-05-13,4.78,4.97,4.78,4.93,168200,4.93
2016-05-12,4.82,4.91,4.60,4.79,233900,4.79
2016-05-11,5.03,5.12,4.78,4.81,267500,4.81
2016-05-10,5.01,5.03,4.92,5.03,
182800,5.03
2016-05-09,4.75,5.09,4.70,4.96,210600,4.96
2016-05-06,4.77,4.87,4.69,4.78,146300,4.78
2016-05-05,4.82,4.90,4.67,4.82,140600,4.82
2016-05-04,4.99,4.99,4.67,4.75,231100,4.75
2016-05-03,4.90,5.01,4.71,4.83,239400,4.83
2016-05-02,4.75,5.10,4.72,5.05,266400,5.05
2016-04-29,5.08,5.08,4.70,4.77,199700,4.77
2016-04-28,4.99,5.13,4.88,5.07,179600,5.07
2016-04-27,5.09,5.09,4.94,5.00,136800,5.00
2016-04-26,5.15,5.21,5.00,5.09,123300,5.09
2016-04-25,5.09,5.18,5.09,5.12,169600,5.12
2016-04-22,5.10,5.19,5.06,5.15,152900,5.15
2016-04-21,5.02,5.14,5.02,5.10,217100,5.10
2016-04-20,5.04,5.25,5.03,5.05,231500,5.05
2016-04-19,5.00,5.10,4.92,5.06,127700,5.06
2016-04-18,4.90,5.05,4.83,4.95,153200,4.95
2016-04-15,4.86,5.03,4.80,4.90,225700,4.90
2016-04-14,4.87,4.90,4.76,4.87,139300,4.87
2016-04-13,4.86,4.95,4.68,4.85,208600,4.85
2016-04-12,4.84,4.93,4.76,4.82,130200,4.82
2016-04-11,4.93,5.00,4.83,4.85,141200,4.85
2016-04-08,4.96,4.99,4.75,4.91,135500,4.91
2016-04-07,4.92,5.00,4.77,4.91,142600,4.91
2016-04-06,4.94,5.15,4.87,4.97,245400,4.97
2016-04-05,4.56,4.98,4.56,4.91,312400,4.91
2016-04-04,4.74,4.86,4.65,4.68,167100,4.68
2016-04-01,4.68,4.80,4.55,4.72,223800,4.72
2016-03-31,4.31,4.78,4.31,4.68,613800,4.68
2016-03-30,4.34,4.41,4.23,4.27,199400,4.27
2016-03-29,4.21,4.34,4.12,4.28,202200,4.28
2016-03-28,4.25,4.30,4.14,4.21,218200,4.21
2016-03-24,4.18,4.30,4.09,4.29,109200,4.29
2016-03-23,4.48,4.49,4.19,4.19,171000,4.19
2016-03-22,4.18,4.49,4.17,4.48,232500,4.48
2016-03-21,4.33,4.50,4.15,4.17,142300,4.17
2016-03-18,4.13,4.38,4.01,4.35,363000,4.35
2016-03-17,3.96,4.14,3.87,4.08,265400,4.08
2016-03-16,3.85,4.04,3.85,3.95,121900,3.95
2016-03-15,4.00,4.12,3.85,3.87,204500,3.87
2016-03-14,4.09,4.15,3.96,4.01,140200,4.01
2016-03-11,3.96,4.08,3.88,4.07,170800,4.07
2016-03-10,4.07,4.13,3.85,3.91,193400,3.91
2016-03-09,4.00,4.03,3.90,4.02,94700,4.02
2016-03-08,4.18,4.38,3.98,4.00,265800,4.00
2016-03-07,4.13,4.29,4.03,4.17,197100,4.17
2016-03-04,4.08,4.28,3.97,4.13,134300,4.13
2016-03-03,4.03,4.13,4.00,4.09,225200,4.09
2016-03-02,3.93,4.09,3.90,4.02,203600,4.02
2016-03-01,3.85,3.99,3.80,3.95,103400,3.95
2016-02-29,3.87,3.95,3.78,3.82,174700,3.82
2016-02-26,3.85,3.98,3.78,3.88,121000,3.88
2016-02-25,3.86,3.87,3.71,3.81,99400,3.81
2016-02-24,3.72,3.87,3.52,3.86,115300,3.86
2016-02-23,3.95,4.00,3.80,3.82,170700,3.82
2016-02-22,4.00,4.08,3.91,3.96,266100,3.96
2016-02-19,3.78,3.95,3.71,3.93,157100,3.93
2016-02-18,3.90,3.95,3.77,3.79,132800,3.79
2016-02-17,3.83,3.95,3.79,3.90,274700,3.90
2016-02-16,3.91,4.00,3.75,3.81,160500,3.81
2016-02-12,3.81,3.90,3.70,3.86,271900,3.86
2016-02-11,3.41,3.80,3.34,3.75,279600,3.75
2016-02-10,3.54,3.70,3.48,3.49,173200,3.49
2016-02-09,3.45,3.56,3.33,3.50,273300,3.50
2016-02-08,3.35,3.48,3.27,3.44,331800,3.44
2016-02-05,3.53,3.56,3.38,3.39,392000,3.39
2016-02-04,3.49,3.61,3.43,3.55,199500,3.55
2016-02-03,3.51,3.53,3.37,3.52,219400,3.52
2016-02-02,3.51,3.56,3.33,3.50,231300,3.50
2016-02-01,3.65,3.65,3.40,3.56,360800,3.56
2016-01-29,3.31,3.65,3.31,3.65,583900,3.65
2016-01-28,3.55,3.55,3.22,3.28,355900,3.28
2016-01-27,3.79,3.79,3.48,3.
50,309300,3.50
2016-01-26,3.72,3.85,3.56,3.81,243100,3.81
2016-01-25,3.81,3.89,3.67,3.69,157600,3.69
2016-01-22,3.91,3.91,3.62,3.82,238400,3.82
2016-01-21,3.81,3.90,3.61,3.62,243800,3.62
2016-01-20,3.46,3.87,3.36,3.83,248800,3.83
